name_age,match_name,full_name,marathon,year,date,time,time_minutes,vaporfly,age,sex
Caroline Rotich (F30),CAROLINE ROTICH,CAROLINE ROTICH,Boston Marathon,2015,4/20/2015,2:24:55,144.9166667,FALSE,30,Female
Mare Dibaba (F25),MARE DIBABA,MARE DIBABA,Boston Marathon,2015,4/20/2015,2:24:59,144.9833333,FALSE,25,Female
Buzunesh Deba (F27),BUZUNESH DEBA,BUZUNESH DEBA,Boston Marathon,2015,4/20/2015,2:25:09,145.15,FALSE,27,Female
Desiree Linden (F31),DESIREE LINDEN,DESIREE LINDEN,Boston Marathon,2015,4/20/2015,2:25:39,145.65,FALSE,31,Female
Sharon Cherop (F31),SHARON CHEROP,SHARON CHEROP,Boston Marathon,2015,4/20/2015,2:26:05,146.0833333,FALSE,31,Female
Caroline Kilel (F34),CAROLINE KILEL,CAROLINE KILEL,Boston Marathon,2015,4/20/2015,2:26:40,146.6666667,FALSE,34,Female
Aberu Kebede (F28),ABERU KEBEDE,ABERU KEBEDE,Boston Marathon,2015,4/20/2015,2:26:52,146.8666667,FALSE,28,Female
Shure Demise (F19),SHURE DEMISE,SHURE DEMISE,Boston Marathon,2015,4/20/2015,2:27:14,147.2333333,FALSE,19,Female
Shalane Flanagan (F33),SHALANE FLANAGAN,SHALANE FLANAGAN,Boston Marathon,2015,4/20/2015,2:27:47,147.7833333,FALSE,33,Female
Joyce Chepkirui (F26),JOYCE CHEPKIRUI,JOYCE CHEPKIRUI,Boston Marathon,2015,4/20/2015,2:29:07,149.1166667,FALSE,26,Female
Aleksandra Duliba (F27),ALEKSANDRA DULIBA,ALEKSANDRA DULIBA,Boston Marathon,2015,4/20/2015,2:29:23,149.3833333,FALSE,27,Female
Lisa Nemec (F30),LISA NEMEC,LISA NEMEC,Boston Marathon,2015,4/20/2015,2:35:18,155.3,FALSE,30,Female
Adriana Nelson (F35),ADRIANA NELSON,ADRIANA NELSON,Boston Marathon,2015,4/20/2015,2:38:47,158.7833333,FALSE,35,Female
Megumi Amako (F24),MEGUMI AMAKO,MEGUMI AMAKO,Boston Marathon,2015,4/20/2015,2:39:08,159.1333333,FALSE,24,Female
Hilary K. Dionne (F29),HILARY DIONNE,HILARY K. DIONNE,Boston Marathon,2015,4/20/2015,2:40:42,160.7,FALSE,29,Female
Lauren Philbrook (F27),LAUREN PHILBROOK,LAUREN PHILBROOK,Boston Marathon,2015,4/20/2015,2:41:17,161.2833333,FALSE,27,Female
Caitlin E. Phillips (F32),CAITLIN E. PHILLIPS,CAITLIN E. PHILLIPS,Boston Marathon,2015,4/20/2015,2:44:28,164.4666667,FALSE,32,Female
Lissa Zimmer (F23),LISSA ZIMMER,LISSA ZIMMER,Boston Marathon,2015,4/20/2015,2:44:56,164.9333333,FALSE,23,Female
Madeline E. Duhon (F26),MADELINE DUHON,MADELINE E. DUHON,Boston Marathon,2015,4/20/2015,2:46:34,166.5666667,FALSE,26,Female
Amber Green (F34),AMBER GREEN,AMBER GREEN,Boston Marathon,2015,4/20/2015,2:48:07,168.1166667,FALSE,34,Female
Christine E Shaw (F29),CHRISTINE SHAW,CHRISTINE E SHAW,Boston Marathon,2015,4/20/2015,2:50:06,170.1,FALSE,29,Female
Sabina Piras (F25),SABINA PIRAS,SABINA PIRAS,Boston Marathon,2015,4/20/2015,2:51:27,171.45,FALSE,25,Female
